timestamp,event_type,application,cpu_pct,ram_pct,hour_slot,extra
2026-03-14 01:40:34.767,window_switch,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,9.0,81.8,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:40:34.767,mouse_click,dashboard.py - attention_pro - Visual Studio Code,9.0,81.8,01:00,btn:left
2026-03-14 01:40:36.320,window_switch,dashboard.py - attention_pro - Visual Studio Code,9.2,82.1,01:00,→ Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome
2026-03-14 01:40:36.320,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,9.2,82.1,01:00,btn:left
2026-03-14 01:40:39.214,window_switch,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,9.3,82.5,01:00,→ (3) Instagram - Google Chrome
2026-03-14 01:40:39.214,mouse_click,(3) Instagram - Google Chrome,9.3,82.5,01:00,btn:left
2026-03-14 01:40:42.969,window_switch,(3) Instagram - Google Chrome,8.1,82.5,01:00,→ Instagram - Google Chrome
2026-03-14 01:40:42.969,mouse_click,Instagram - Google Chrome,8.1,82.5,01:00,btn:left
2026-03-14 01:40:46.682,window_switch,Instagram - Google Chrome,10.8,82.0,01:00,→ NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge
2026-03-14 01:40:46.682,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,10.8,82.0,01:00,btn:left
2026-03-14 01:40:49.511,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,10.7,82.0,01:00,btn:left
2026-03-14 01:40:54.680,window_switch,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,8.6,81.7,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:40:54.680,idle,dashboard.py - attention_pro - Visual Studio Code,8.6,81.7,01:00,gap:5s
2026-03-14 01:40:56.416,mouse_click,dashboard.py - attention_pro - Visual Studio Code,7.7,81.7,01:00,btn:left
